Identifier,FileName,TranscriptDownloadStatus,TextTranscriptDownloadStatus,AiDownloadStatus
2cb527c9-f2f8-41a1-8371-4e17fbda17c1,07_10_2019_portland_meeting_minutes_combined.mp3,,Succeed,
7250cf02-4260-4215-887c-563839974494,07_15_2015_portland_meeting_minutes_combined.mp3,,Succeed,
b76845a4-ac18-4d1c-bdb9-0e4616e83c60,07_20_2017_portland_meeting_minutes_combined.mp3,,Succeed,
26179114-9279-43a3-8074-3e78b7a0f6ab,07_08_2015_portland_meeting_minutes_combined.mp3,,Succeed,
0042a146-de32-436a-a2e7-552d372399dc,07_19_2017_portland_meeting_minutes_combined.mp3,,Succeed,
4e53ed55-7839-4ce9-903c-a36f96700c0b,07_20_2016_portland_meeting_minutes_combined.mp3,,Succeed,
ade63dae-572c-4527-bb1f-98b2f64b72bb,07_18_2018_portland_meeting_minutes_combined.mp3,,Succeed,
ee8b5bd8-4cd1-40fa-8ca8-81bf812399bf,07_08_2020_portland_meeting_minutes_combined.mp3,,Succeed,
a8adc133-9fad-4c20-a83b-c88201886737,07_12_2017_portland_meeting_minutes_combined.mp3,,Succeed,
4153eaaf-931f-4a93-ab76-0e7b6d83ebfd,07_13_2017_portland_meeting_minutes_combined.mp3,,Succeed,
a05e4727-80ad-4be1-95b4-81fd2484f24f,07_13_2016_portland_meeting_minutes_combined.mp3,,Succeed,
0537a997-cffa-45bc-9dd4-27aef99df7bc,07_11_2018_portland_meeting_minutes_combined.mp3,,Succeed,
e453c0c7-ed5f-40bb-be12-58b40cc1ac33,07_06_2016_portland_meeting_minutes_combined.mp3,,Succeed,
819f08f2-b2ee-44a4-ac6d-9db24ab7e617,06_29_2016_portland_meeting_minutes_combined.mp3,,Succeed,
069b248e-8170-4fcb-af85-9ed6d8c5acd9,07_09_2015_portland_meeting_minutes_combined.mp3,,Succeed,
2da195c7-03ad-4606-a0c4-d59142c9535b,07_05_2017_portland_meeting_minutes_combined.mp3,,Succeed,
52825897-322c-47ec-9ba5-702df9a60419,06_26_2019_portland_meeting_minutes_combined.mp3,,Succeed,
6186b76b-add7-4f67-8a8f-88f8b92d9ebe,06_30_2016_portland_meeting_minutes_combined.mp3,,Succeed,
eaf9bbc5-4d16-4097-a0ba-5243b8f752d9,06_24_2015_portland_meeting_minutes_combined.mp3,,Succeed,
40a482e9-bee6-4065-bc8d-da5bb250b431,06_28_2017_portland_meeting_minutes_combined.mp3,,Succeed,
9dcbda2d-8fda-47db-9c25-8af83d7d9383,06_19_2019_portland_meeting_minutes_combined.mp3,,Succeed,
a1ec3f3a-54e5-4351-b2a4-f1b32495268a,06_27_2018_portland_meeting_minutes_combined.mp3,,Succeed,
3d39d47a-d3c7-4860-af26-526d9ca647ca,06_17_2020_portland_meeting_minutes_combined.mp3,,Succeed,
57fe532d-ba0b-4a46-83e2-c4dc0abcecc4,06_24_2020_portland_meeting_minutes_combined.mp3,,Succeed,
96b50931-af33-4f22-bb3c-43d6813d91de,06_22_2016_portland_meeting_minutes_combined.mp3,,Succeed,
f1f93442-534e-48bf-bd5c-d4abd8950007,06_25_2015_portland_meeting_minutes_combined.mp3,,Succeed,
31412bd0-d6be-408b-a850-75158bf79d53,06_21_2017_portland_meeting_minutes_combined.mp3,,Succeed,
d57219ee-6752-448a-9cf0-c14d670ee5de,06_22_2017_portland_meeting_minutes_combined.mp3,,Succeed,
9984e3ed-d189-4b37-bfd6-07e9c23c04ff,06_20_2018_portland_meeting_minutes_combined.mp3,,Succeed,
61913db4-ca2c-47da-bdc5-ea0d9ad5fcf6,06_21_2018_portland_meeting_minutes_combined.mp3,,Succeed,
52741a5f-3ff5-432f-9ef9-3286aaf47544,06_10_2020_portland_meeting_minutes_combined.mp3,,Succeed,
2120e650-5ce4-4d11-a755-421f5fe5b3fa,06_17_2015_portland_meeting_minutes_combined.mp3,,Succeed,
f5cd3742-4044-4b91-9a9e-f9ddf9757f92,06_14_2017_portland_meeting_minutes_combined.mp3,,Succeed,
