created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text,keywords_matched
2024-12-23T21:15:16.000Z,"Buffalo, NY",,,,False,@elonmusk And people in [ORGANIZATION] are freezing and homeless because they can't get emergency services due to all the money spent on illegal immigrants!,homeless
2024-12-23T16:01:51.000Z,New York,,,,False,"Affordable, Income-Based Housing in #[PERSON]. FAC0 offers affordable apartments with all utilities included in the rent. Section 8 voucher holders welcomed to apply! To apply, or for more #affordablehousinglotteries, visit: [URL] [URL]",
2024-12-23T13:29:54.000Z,"Kenmore, NY",,,,True,RT @KenTonAthletics: [ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on [ORGANIZATION]…,soup kitchen
2024-12-23T12:42:42.000Z,"Albany NY, USA",,,,False,"Yo Ive similar videosbwhen traveling ""hotel homeless"" in [ORGANIZATION] and [PERSON] with twin babies

[LOCATION]",homeless
2024-12-23T06:05:38.000Z,,,,,False,"@JoshAllenQB gave me the full ORG0 experience! I feel like I actually got a taste of [ORGANIZATION] era..Everytime we get to the Big game in my ORG1 league, we take time out to let the homeless eat..",homeless
2024-12-22T22:39:04.000Z,,,,,False,"@Troy49042989 @RitchieTorres @mrddmia But any plan that is taking homeless off the streets of [ORGANIZATION] and shipping them to [PERSON], GPE2 or [PERSON] is going to (rightfully) receive major pushback from those of us who live outside GPE4 who think it’s fundamentally unfair GPE4 gets to solve its problems on our backs.",homeless
2024-12-22T20:35:12.000Z,"Florida, USA",,,,False,"@Brycen2047 [ORGANIZATION] @NFL I hope [ORGANIZATION] has a great game, but I really think the ORG1 defense has to start serving notice to ORG2 playoff teams or turn the new stadium into affordable housing.",affordable housing
2024-12-22T16:44:20.000Z,"Buffalo, New York",,,,False,"[TIME] was a cold night in downtown [ORGANIZATION]. 5 degrees. Many homeless spent [TIME] on the [STREET].

Ordinary citizens walking by see them and try to help. Give money, food, anything. Ask if they need help. Ride to a shelter?

Most won’t go near a shelter. Rather freeze.",homeless
2024-12-22T15:56:43.000Z,"Kenmore, NY",,,,True,RT @KenTonAthletics: [ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on [ORGANIZATION]…,soup kitchen
2024-12-22T15:52:40.000Z,,,,,True,RT @KenTonAthletics: [ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on [ORGANIZATION]…,soup kitchen
2024-12-22T04:47:57.000Z,,,,,True,RT @kw_girlsbball: [ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on [ORGANIZATION]…,soup kitchen
2024-12-21T23:03:01.000Z,,,,,False,[ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on FAC0 in [ORGANIZATION] serving [ORGANIZATION] dinner to the less fortunate in our community. [URL],soup kitchen
2024-12-21T21:39:14.000Z,"Tonawanda, NY",,,,True,RT @kw_girlsbball: [ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on [ORGANIZATION]…,soup kitchen
2024-12-21T21:15:21.000Z,,,,,False,[ORGANIZATION] volunteered [ORGANIZATION] at the ORG1 soup kitchen on FAC0 in [ORGANIZATION] serving [ORGANIZATION] dinner to the less fortunate in our community. [LOCATION],soup kitchen
2024-12-21T16:22:27.000Z,NY city,,,,False,"@PghPublicSafety @PghPolice @steelers @NFL 

You ve all the whores from [ORGANIZATION] in Head

Legs thighs all [STREET] whores HOMELESS live

in GPE1 streets [LOCATION]EXPLOSIVES

the scene on [ORGANIZATION] @davidmuirabcpri @WhitJohnson @[ORGANIZATION]",homeless
2024-12-21T05:07:32.000Z,,,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-21T01:00:25.000Z,"New York, NY",,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-21T00:34:16.000Z,,,,,True,"[ORGANIZATION] to reliable, affordable high-speed internet isn’t a luxury, it's a necessity.  
  
Our Affordable Housing Connec…",affordable housing
2024-12-20T23:00:53.000Z,,,,,False,When will affordable housing be built in [ORGANIZATION] a blue collar working class town? [URL],affordable housing
