id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched
1861753054824935506,"New county-funded mobile homes arrive for families facing homelessness 
Source: Kalamazoo Gazette
https://t.co/zRoIsmu90z",2024-11-27T12:44:52.000Z,1748886166202454016,,,,,False,"homeless, homelessness"
1861750079079551444,New county-funded mobile homes arrive for families facing homelessness https://t.co/0DTgjPHJY9,2024-11-27T12:33:03.000Z,14323188,Michigan,,,,False,"homeless, homelessness"
1861747055812595923,New county-funded mobile homes arrive for families facing homelessness https://t.co/uLMQAeWHVj,2024-11-27T12:21:02.000Z,13482642,"Kalamazoo, MI",,,,False,"homeless, homelessness"
1861529776353149034,The Kalamazoo County Public Housing Commission is celebrating the first of ten new affordable housing units at a mobile home park near Schoolcraft: https://t.co/v77JJ1jox3,2024-11-26T21:57:38.000Z,14712659,"Grand Rapids, Mich.",,,,False,affordable housing
1861456266356289930,"Asking people about challenges of finding affordable housing in Kalamazoo area:

""The housing situation here is beyond abysmal! I feel even worse for the poor/homeless. The county/city cant seem to get their shit together to address the problem,"" one said. https://t.co/8quFv1z4c3",2024-11-26T17:05:32.000Z,20216580,"Kalamazoo, MI",,,,False,"homeless, affordable housing"
1861047193039147460,"November is National Homelessness Awareness Month, and Kalamazoo is seeing a five-year high in their homeless population according to the 2024 count.
https://t.co/XQM5ctMLVA",2024-11-25T14:00:02.000Z,72370276,"Kalamazoo, Michigan",,,,False,"homeless, homelessness"
1859642281151823907,"LOCAL NEWS - Plans to convert Kalamazoo hotel into homeless shelter cancelled after lofty $5.2M pricetag goes public 

https://t.co/ehEY3GTJLE",2024-11-21T16:57:24.000Z,1168863686351609856,"Kalamazoo, MI",,,,False,homeless
1859424003649097972,"Plans to convert Kalamazoo hotel into homeless shelter being re-evaluated
https://t.co/ge72hYCssg",2024-11-21T02:30:03.000Z,15631338,West Michigan,,,,False,homeless
1859239369262973434,@SuckItVileLibs @Ally_Sammarco Kalamazoo is a homeless mess.,2024-11-20T14:16:23.000Z,802611720023932929,"Michigan, USA",,,,False,homeless
1858891061243830583,@GrassrootArmy @KalamazooCity It doesn't help when cities around the state put their homeless on buses and send them to Kalamazoo.  The Red Cross in other states does this as well.,2024-11-19T15:12:20.000Z,1698862649390325760,Michigan,,,,False,homeless
1858721880779141491,"New Kalamazoo home aims to help homelessness and addiction
https://t.co/sWcBnB5Nkd",2024-11-19T04:00:04.000Z,15631338,West Michigan,,,,False,"homeless, homelessness"
1858359575998513581,RT @Elevate_JRiden: Fun fact--the homeless population is growing in Kalamazoo and its not just because of bad policies. Cities and towns ar…,2024-11-18T04:00:24.000Z,913553810,,,,,True,homeless
