id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1860453523290464421,yall should sign the fayetteville housing crisis petition  https://t.co/TLd9ce1ZuB,2024-11-23T22:41:00.000Z,3730011073,22,,,
1860413413974839674,"MurchisonRd area in Fayetteville is facing a housing crisis. 40% of people in this area live in poverty, and the city lacks 20,000 affordable housing units. Initiatives like #MurchisonChoice aim to fix old housing, but progress depends on securing funding. https://t.co/RKg3mULSdP",2024-11-23T20:01:37.000Z,1835729819427868672,,,,
1860411810802700368,"Fayetteville’s Murchison Rd is undergoing major changes to address housing challenges in one of its most under-resourced areas. The #MurchisonChoice initiative plans affordable housing renovations, but progress depends on securing competitive HUD funding.
https://t.co/xIW7A3E9hG",2024-11-23T19:55:15.000Z,1835729819427868672,,,,
1860119000283545873,@elonmusk @VivekGRamaswamy By the way here in Fayetteville nc there alot of business and abandoned places here that could use yall help and homeless is terrible and we need to Audit north carolina as a while. But fayetteville nc could use some up due. Fayetteville nc need to be investigated bad asap,2024-11-23T00:31:43.000Z,1056357089692581888,,,,
1860018427953307854,"‘A mecca for crime’: Fayetteville sues homeowners providing housing to homeless 
Source: https://t.co/uZwblbMsQb https://t.co/vutLM2RDo2",2024-11-22T17:52:05.000Z,741517866,,,,
1859777275371323852,Affordable housing and access to healthy food go hand in hand. Fayetteville needs policies that prioritize both to tackle poverty at its root. #FoodSecurity,2024-11-22T01:53:50.000Z,1835817125425848320,,,,
1859603270404030708,Warning please don't come to Fayetteville NC if you recently became homeless because of the hurricanes Fayetteville NC criminalized homelessness. You can be fined or thrown in jail for just being homeless without committing a real actual crime,2024-11-21T14:22:24.000Z,1598504116036280321,"Fayetteville, NC",,,
1859430412314988979,'A mecca for crime': Fayetteville sues homeowners providing housing to homeless https://t.co/yv30RxJ5pf,2024-11-21T02:55:31.000Z,108352504,Northwest Arkansas,,,
1859289620858499473,Fayetteville State University is hosting their annual Sleep Out event to bring awareness to the homeless population of Fayetteville. If you can participate please fill out the link below👇 This is a great social action event! Toiletries &amp; Clothing donation is needed for admission https://t.co/aG21Sle9hI,2024-11-20T17:36:04.000Z,1840502300412084224,,,,
1859253054417080682,"Fayetteville to reallocate more than $71,000 to 7hills Homeless Center 
Source: KNWA &amp; FOX24 https://t.co/nG6DXoQ9dl",2024-11-20T15:10:46.000Z,207656795,,,,
1859087643088224637,"Fayetteville to reallocate more than $71,000 to 7hills Homeless Center https://t.co/O5joQFPxf9",2024-11-20T04:13:28.000Z,108352504,Northwest Arkansas,,,
1858996106220499372,"@realdogenews DoD---if would be great to take their empty buildings and make them VA Housing.  Make it like habitat and have the Vets who are able to help to do so.  Fayetteville, AR did a great job in a homeless community there.  That concept could work in these empty buildings.",2024-11-19T22:09:44.000Z,1829542794051948544,,,,
1858587036921589830,"In the Mayor’s race, 20-year incumbent Lioneld Jordan faced Molly Rawn, the CEO of Experience Fayetteville, the City’s tourism marketing org. As the housing crisis rose in importance to campaigns, Rawn capitalized on some of Jordan's public missteps.

The runoff is on Dec 3rd https://t.co/De1SZdPALx",2024-11-18T19:04:15.000Z,1334217938447032320,Northwest Ark. ↔️ Northern Va.,,,
1857622540228731185,"@Drweloveu I need you to edit it because she wasn’t homeless and she had her own place.  Baby girl was visiting her mother, her father had custody. I’m from Fayetteville and she wasn’t found near Fayetteville she was found in Sanford. I was on my way to class the day she was found.",2024-11-16T03:11:41.000Z,2875590471,"710 W Market st Greensboro, NC",,,
1857220777919025264,"Many experiencing homelessness in the Cumberland Rd area of Fayetteville struggle to find transportation to shelters, jobs, or medical care. Reliable public transit is a must! #FixNCTransit #EndHomelessness",2024-11-15T00:35:13.000Z,1836255088186122240,,,,
1857085564425490570,"@investandcreate Shoot I didn’t know you were a 2x NC State Alum. Same here😃

I hate to say it but the bus station has made Fayetteville St noticeably worse. The homeless people in that area can be very aggressive. Glenwood became more of a club scene than a bar scene. 

As someone that went to",2024-11-14T15:37:56.000Z,281742708,"Raleigh, NC",,,
1856005601127432504,@Dragon2Supreme I quite literally do tho???? I give money to homeless people all the time in Fayetteville stop speaking on shit u dont know about cock muncher,2024-11-11T16:06:32.000Z,1683468673225195523,,,,
1855686784912408860,"This is great to see with so many buildings sitting empty since 2020.  It gives hope.  One of the best homeless communities I have seen was in Fayetteville, AR.  They gave proud community members responsibilities of maintaining it much like a co-op.  

https://t.co/UXk89Ngfpt",2024-11-10T18:59:41.000Z,1829542794051948544,,,,
1854995244334432562,"Beggars and the homeless are on every street corner in Fayetteville, AR unless it's a game day. https://t.co/nYqjv62f5a",2024-11-08T21:11:45.000Z,24690190,,,,
1854989689519804678,"Fayetteville City Council approves a plan (450,000 grant) for adding affordable housing in the Murchison Corridor (Murchison Townhomes). This plan came about in 2020 and this article came out in 2022.
https://t.co/Gf32NlNfyB via @cpublicpress",2024-11-08T20:49:40.000Z,1835729819427868672,,,,
1850680036812009974,"@FearedBuck She kinda right though , look at the soldiers they don’t even offer help that done went crazy .. u can go to Fayetteville Nc start there homeless and crazy on the street . War vets it’s sickening but she right",2024-10-27T23:24:39.000Z,1458953928788303875,,,,
1849445704202113062,New Beginnings unveiled four new medical respite care cabins for patients experiencing chronic homelessness  https://t.co/pzIOJxXoRX,2024-10-24T13:39:51.000Z,1075333250,"Fayetteville, AR",,,
1849428171206107279,"""If it wasn't for these people, I'd probably be dead by now,"" a former medical respite patient said. ""Thank God for them, I'm not.""  https://t.co/PUj0fwjfZM",2024-10-24T12:30:11.000Z,24778454,"Fort Smith - Fayetteville, AR",,,
1849218624373788916,New Beginnings opens respite cabins for Fayetteville's chronically unhoused https://t.co/SZHXbyk8hY,2024-10-23T22:37:31.000Z,108352504,Northwest Arkansas,,,
1849218394635272520,New Beginnings opens respite cabins for Fayetteville's chronically unhoused https://t.co/de3LQnO3xC https://t.co/NmjPGheYt8,2024-10-23T22:36:36.000Z,59478576,Arkansas,,,
1848717944563368365,"@KamalaHarris Still no word on investing in America’s veterans. I invite you to Fayetteville, NC - to witness yourself the outrageous number of homeless veterans on its streets. Helping our veterans should be your #1 priority! They come in a variety of colors, you know.",2024-10-22T13:28:00.000Z,928658814160777216,"North Carolina, USA",,,
1847992670183960635,Our Be Love Ministry served over 300 meals to the homeless yesterday! #gosafellowship #serveothers #serveGod #belove https://t.co/k3vIIUysAV,2024-10-20T13:26:01.000Z,1167920869655662592,"Springdale, Arkansas","Springdale, AR",United States,city
1847773227369791878,@wigglingit4cash yeah that'd do it. fayetteville and bentonville are the most expensive. i'm super lucky be in the same apartment for years so i'm still under $1k/mo for a 2bed/2ba. hopefully something breaks soon bc we finally got hit with the housing crisis (the area was immune in 08),2024-10-19T22:54:02.000Z,113181578,,,,
