created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-19T16:58:33.000Z,"Cabot, AR",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-18T20:00:27.000Z,"Austin, TX",,,,False,homeless,"#[PERSON] awarded $100,000 to [PERSON] (ORG3) to enhance employment and education-related skills for [DATE] and migrant farmworkers. The award was part of a $300,000 discretionary fund award under the CSBG Program. [PERSON]"
2024-12-18T03:17:21.000Z,In a Van Down by the River,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-17T23:54:33.000Z,"El Paso, TX",,,,True,,"[PERSON]: DATE0, we’re highlighting [ORGANIZATION] recent move to invest [ORGANIZATION] funds to support former inmates.…"
2024-12-17T23:05:05.000Z,The Home Of The Brave 🇺🇸 ,"El Paso, TX",United States,city,False,homeless,[USER] Anywhere you aren't homeless lol with these prices damn
2024-12-17T16:01:06.000Z,"El Paso, Texas",,,,False,homeless,"[ORGANIZATION] has announced a $100,000 funding award to ORG1 in [ORGANIZATION]"
2024-12-17T07:22:43.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-17T05:42:26.000Z,greeneville tn,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-17T04:47:23.000Z,"Oregon, USA",,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-17T01:55:37.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-17T01:15:56.000Z,,,,,True,"homeless, homelessness","RT [USER]: The only thing Democrats are bringing to [ORGANIZATION] is chaos, poverty, drugs and homelessness.

Does this look like a thi…"
2024-12-16T07:20:41.000Z,they/she | cle | bi | 22,,,,False,,[ORGANIZATION] how i sent my mom a [ORGANIZATION] edit including the [ORGANIZATION] move scene with the message “the horrors of the affordable [PERSON] housing market” bc growing up so many ppl moved away to [PERSON]
