id,text,created_at,author_id,user_location,tweet_geo,tweet_country,place_type
1859627839558975828,"ICYMI: Carly Rice stands by as dozens of those in need walk through Miss Carly’s on Wednesday afternoon. Volunteers for the charity gather sack lunches, blankets, gloves and more without questions for the mostly homeless men and women entering. https://t.co/EDGbhOGvO3",2024-11-21T16:00:01.000Z,33988019,"Rockford, IL",,,
1859242187705233908,RT @RRCurrent: A new proposal sets out to create affordable housing for veterans — ranging from studio apartments at this old bank site to…,2024-11-20T14:27:35.000Z,153902291,Rockford 8️⃣1️⃣5️⃣,,,
1859241719251788080,"A new proposal sets out to create affordable housing for veterans — ranging from studio apartments at this old bank site to townhomes on vacant land — at nine locations in the area. 

https://t.co/DnTP63Nxab",2024-11-20T14:25:43.000Z,1303765584606384135,"Rockford, IL",,,
1859164001877344468,"Rockford non-profit that supports the homeless could shut down 
Source: https://t.co/YgsF8kMs1F WTVO WQRF https://t.co/Gbz1epDX2p",2024-11-20T09:16:54.000Z,285636756,Illinois,,,
1859126338960949386,Rockford non-profit that supports the homeless could shut down #Illinois  https://t.co/kw9O43BkJL,2024-11-20T06:47:14.000Z,1589539435305123841,"Wisconsin, USA",,,
1858670363451752886,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-19T00:35:21.000Z,587764463,"Èire, Dublin, Kildare, EU",,,
1858570899751923912,The $45 million project hopes to solve part of Rockford's housing crisis. https://t.co/o40W3H0KOg,2024-11-18T18:00:07.000Z,33988019,"Rockford, IL",,,
1858216775659254001,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-17T18:32:57.000Z,2229666606,"Cork, Ireland",,,
1858112744865538127,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-17T11:39:35.000Z,3959229376,,,,
1858098787450818607,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-17T10:44:07.000Z,52956088,,,,
1858081303117099087,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-17T09:34:38.000Z,161644634,"Mayo, Ireland",,,
1858050384637329501,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-17T07:31:47.000Z,1483544961253625865,,,,
1857836838754431239,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T17:23:13.000Z,1672589388453142528,,,,
1857794520999444787,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T14:35:04.000Z,2260768729,UK. London,,,
1857782497330765851,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T13:47:17.000Z,47709476,"Cork City, Ireland",,,
1857779008647086484,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T13:33:26.000Z,1812431732614008833,,,,
1857736634147414290,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T10:45:03.000Z,1490698037588598788,,,,
1857721000785293605,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T09:42:56.000Z,1512534668775759872,,,,
1857696529252823133,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T08:05:41.000Z,214500027,,,,
1857689022195282202,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T07:35:51.000Z,978615065929830400,"Sligo, Ireland",,,
1857649302031433755,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T04:58:01.000Z,363481591,"Galway, Ireland",,,
1857609062394876225,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T02:18:07.000Z,69457450,,,,
1857602978934305271,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T01:53:57.000Z,1613835413168308224,"Galway, Ireland",,,
1857591861285712178,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T01:09:46.000Z,1555512266694459392,,,,
1857589257914777638,RT @RBoydBarrett: One thing's clear from talking to residents around Rockford and St Fintan's - people need a change from FF &amp; FG. Many peo…,2024-11-16T00:59:26.000Z,1415805543587921924,Ireland,,,
